Sr. no.,tweets,sentiment,classification
2311,Please do not ask me to translate this Trust me you do not need to know what it is about China WuhanCoronavirus Wuhan,neutral,opinion
2312,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2313,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2314,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2315,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2316,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2317,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2318,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2319,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2320,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2321,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2322,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2323,US donated one hundred and seventy-eight tons of medical supplies for WuhanCoronavirus to China in february China now spreads conspiracy theory to,neutral,opinion
2324,Elvish this is how PRC citizens has to tweet about Wuhan virus and the whistle blowers in order to evade censorship If y,neutral,opinion
2325,FoxBusiness SUSPENDS TrishRegan For More WuhanVirus Coverage Targeted By Media Matters AFTER This Accurate Takedown,neutral,opinion
2326,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2327,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2328,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2329,KanchanGupta But it started in China a Communist country China has been responsible for three pandemics this century Anti capitalism diatribes will achieve nothing hypocrisy LiesOnTopOfLies ChinaCoronaVirus WuhanCoronavirus Wuhan CoronaVirusUpdates China_is_terrorist,neutral,opinion
2330,I am soo thankful that Donald Trump is our President during this pandemic Wuhan WuhanCoronavirus,anger,opinion
2331,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2332,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2333,FoxBusiness SUSPENDS TrishRegan For More WuhanVirus Coverage Targeted By Media Matters AFTER This Accurate Takedown,neutral,opinion
2334,TJ_TomJ ShubertEugene DiMusa4U acecordrell RedDragonFly19 JimFish56837379 redned59 PaprikaLady SpatulaSteve erskinedaniel chris__soda ozhomeschool BadgersNo B_Bolshevik100 SylviaD32911201 BighterT heisenburgal2o3 glinch72 SlagKogel mikebethune Jan_lindsay DawnTJ90 Jamz129 GaryWHall ammocrypta fyre_dumpster SpurglyD Cris_Paunescu MStuart1970 Zerilos darren_nell Robin_Hagues feenicks sales_un justanotweet JSand1270 MATTP1949 quasimodem1951 EcoSenseNow CymaticWave RoseWol01620197 RosemaryDiaz13 Temer1ty asubjectivelife PerpetualBBPH Benjami60182579 AnarQueer1 KSulza WuhanCoronavirus is an effect of the BIG GOVT VIRUS Made in Communist China by arresting heroic individuals attempting to notify the public,neutral,opinion
2335,JenniferHYChan alphacentauriii All dead no more WuhanVirus WuhanCoronavirus By the way CCP will blame US for the exp,neutral,opinion
2336,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2337,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2338,Quarantine center CCP style Can not bath Can not wash clothes Can not open window Exit locked up with steel chain WuhanCoronavirus coronavirus,neutral,opinion
2339,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2340,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2341,kaymsanto Always looking for free from taxpayers How about doing the right thing for your community and nation in pandemic Do you have invested in a bar in the hood Tough shit life in the big city Time close everything down due to ChinaVirus WuhanCoronavirus,neutral,opinion
2342,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2343,Do not trust WHO WHO works for CCP chinazi CCP brings death and fear with WuhanCoronavirus COVID China Origin VIrus Disease,neutral,opinion
2344,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2345,All thanks to efforts of PM narendramodi JI DrSJaishankar drharshvardhan Scientists doctors Air lines crew All,neutral,opinion
2346,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2347,"coronavirus Update Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths in twenty-four Hrs New Totals twenty-one thousand, one hundred and fifty-seven cases amp one thousand, four hundred and forty-one deaths",neutral,reporting
2348,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2349,JackPosobiec Truth about CoronaVirus WuhanCoronaVirus from MIT Phd VA Shiva ImmuneSystem Panic Virus,neutral,opinion
2350,Dear friends here is sth you need to know about the WuhanCoronavirus Facing one of the most challenging amp widespread pan,neutral,opinion
2351,HongKong ppl have been thru SARS they learnt from the disease so everyone dealing with WuhanCoronavirus seriously it,anger,opinion
2352,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2353,Maybe the mission which was given by CCPChina to this reporter spread WuhanVirus in whitehouse BioWeapon WuhanCoronavirus CoronaVirusUpdates coronavirus ChinaVirus ChinaCoronaVirus ChinaPneumonia ChineseCoronavirus ChineseWuhanVirus ChinaOriginVirusID_19 æ­¦æ¼¢è‚ºç‚Ž,neutral,opinion
2354,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2355,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2356,Good photo to illustrate it Pic one at ur is getting serious faster put off amp find the origin No need to worr,neutral,opinion
2357,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2358,bueti SolomonYue WHO is controlled by China WHO always support China in the WuhanCoronavirus,neutral,opinion
2359,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2360,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2361,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2362,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2363,Stunning ISIS to avoid europe because of WuhanCoronavirus CoronaVirusUpdates CoronaPandemic ISIS Terrorists,neutral,opinion
2364,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2365,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2366,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2367,Thank you China it is like saying thank you when one China set fire in their house and can not control it two The fire sp,neutral,opinion
2368,Please do not ask me to translate this Trust me you do not need to know what it is about China WuhanCoronavirus Wuhan,neutral,opinion
2369,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2370,RealJamesWoods The WuhanCoronavirus is the Chinese Chernobyl one Reduce and terminate our financial and manufacturing dependance on China two Isolate China three Bring down this evil communist regime and free the Chinese people four Enjoy a much much better world ChineseChernobyl,neutral,opinion
2371,_sabanaqvi you forgot to tag China govt responsible for WuhanCoronavirus,neutral,opinion
2372,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2373,All thanks to efforts of PM narendramodi JI DrSJaishankar drharshvardhan Scientists doctors Air lines crew All,neutral,opinion
2374,EmanuelaOmal12 SorrientoC you are wrong Too stupid If you are a smart guy you should remember to revenge those who died of the WuhanCoronavirus in your country and make China pay the price What are you speaking now,neutral,opinion
2375,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2376,XinhuaNewsAgency revealed that the medical materials donated to Italy only used on the Mainland Chinese who are stranded in,neutral,opinion
2377,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2378,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2379,All thanks to efforts of PM narendramodi JI DrSJaishankar drharshvardhan Scientists doctors Air lines crew All,neutral,opinion
2380,mpuanon Thank you with love from Hong Kong Mulan BoycottMulan WuhanCoronavirus is also making watching movies amp big ga,neutral,opinion
2381,WuhanCoronavirus SocialDistancingNow what is the most appropriate SocialDistance between two persons,neutral,opinion
2382,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2383,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2384,"Who controls the past controls the future Who controls the present controls the past one thousand, nine hundred and eighty-four This is why COVID19 shou",neutral,reporting
2385,Made in China Coronavirus Chaos Could Have Been Avoided CoronavirusPandemic WuhanCoronavirus ChinaCoronaVirus ChinaShouldApologize PunishChina,neutral,reporting
2386,Please do not ask me to translate this Trust me you do not need to know what it is about China WuhanCoronavirus Wuhan,neutral,opinion
2387,Thank you China it is like saying thank you when one China set fire in their house and can not control it two The fire sp,neutral,opinion
2388,Unathi_Kwaza Intentionally confusing ItalyCoronavirus probably migrant diseases allowed to develop unchecked WuhanCoronavirus centre of a blame game Virus es escaped from FortDetrick in August China messed up their response so want to divert attention,neutral,opinion
2389,three While HK leader CarrieLam acts against medical experts advice amp asks ppl not to wear masks we simply disregard unsc,neutral,opinion
2390,FP_Champagne Govt policy is made based on a women sickness not the interest of all Canadians This action should be taken at least 6wks ago not until now WuhanCoronavirus ChineseCoronavirus,neutral,opinion
2391,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2392,mikiebarb Awful scary but we will survive folks and when we do let us all work to take down the brutal Communist Cult that runs China not least because they covered up the biosafety accident at Wuhan Institute of Virology that exposed WuhanCoronavirus after which they exported it to us,neutral,opinion
2393,ScottAdamsSays If the Chinese government tells the truth of the WuhanVirus at Nov two thousand and nineteen the world will not suffer from,neutral,reporting
2394,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2395,Thank you China it is like saying thank you when one China set fire in their house and can not control it two The fire sp,neutral,opinion
2396,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2397,china coronavirus wuhanCoronavirus wuhanFlu humanRights Undercover video reveals new evidence on forced organ harvesting in Chin via YouTube,neutral,reporting
2398,BREAKING POTUS STOPS SpeakerPelosi FROM ADDING ABORTION FUNDING TO WuhanCoronavirus BILL THANK YOU PR,neutral,opinion
2399,All thanks to efforts of PM narendramodi JI DrSJaishankar drharshvardhan Scientists doctors Air lines crew All,neutral,opinion
2400,China style of controlling WuhanCoronaVirus,neutral,opinion
2401,Please do not ask me to translate this Trust me you do not need to know what it is about China WuhanCoronavirus Wuhan,neutral,opinion
2402,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2403,FoxBusiness SUSPENDS TrishRegan For More WuhanVirus Coverage Targeted By Media Matters AFTER This Accurate Takedown,neutral,opinion
2404,Please do not ask me to translate this Trust me you do not need to know what it is about China WuhanCoronavirus Wuhan,neutral,opinion
2405,Just remember all of this is China s fault and the world must hold them accountable China Lied to the world Silenced whis,neutral,opinion
2406,Elvish this is how PRC citizens has to tweet about Wuhan virus and the whistle blowers in order to evade censorship If y,neutral,opinion
2407,The Chinese state built two hospitals to treat workers In the US UK amp France the states are neglecting workers to death Obviously the working class is empowered in China amp that is why the US is trying to demonize it with the WuhanCoronavirus label cdnpoli uspoli USPolitics,neutral,opinion
2408,All thanks to efforts of PM narendramodi JI DrSJaishankar drharshvardhan Scientists doctors Air lines crew All,neutral,opinion
2409,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2410,Dear friends here is sth you need to know about the WuhanCoronavirus Facing one of the most challenging amp widespread pan,neutral,opinion
2411,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2412,Please do not ask me to translate this Trust me you do not need to know what it is about China WuhanCoronavirus Wuhan,neutral,opinion
2413,CCPChina blames the world for WuhanCoronavirus,neutral,opinion
2414,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2415,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2416,All thanks to efforts of PM narendramodi JI DrSJaishankar drharshvardhan Scientists doctors Air lines crew All,neutral,opinion
2417,Today at the Corona Virus TaskForce update at the White House Is China trying to give the President of the United States the,neutral,reporting
2418,DanielTurnerPTF Hongkong3333333 realDonaldTrump wrong the time to move their ass is now not after WuhanCoronavirus WuhanPneumonia WuhanCoronavirusOutbreak,anger,opinion
2419,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2420,The last youS manufacturer of Penicillin closed in two thousand and four WuhanCoronavirus WuhanVirus TheWorldEndedAndGodSaid FridayTh,neutral,reporting
2421,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2422,Stop the lies Demonstrators out side China embassy in LosAngeles complained about PRC coverup the WuhanCoronavirus,neutral,opinion
2423,JenniferHYChan alphacentauriii All dead no more WuhanVirus WuhanCoronavirus By the way CCP will blame US for the exp,neutral,opinion
2424,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2425,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2426,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2427,Stop the lies Demonstrators out side China embassy in LosAngeles complained about PRC coverup the WuhanCoronavirus,neutral,opinion
2428,zlj517 patciammaichell The WuhanCoronavirus global pandemic is the Chinese Chernobyl and you are trying to spin your responsibilities away like the Commie coward you are All Chinese BSL34 labs must be closed We must take your dictatorial regime down for once and all WuhanCoronavirus Coronavid19,neutral,opinion
2429,Beijing stooges say no WuhanCoronavirus Should be who is novel coronavirus Huh They did not know COVID19 They si,neutral,opinion
2430,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2431,I have to say I am simply amazed at what I see going on in response to the WuhanCoronavirus Where was all of this in twenty,neutral,opinion
2432,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2433,Beijing stooges say no WuhanCoronavirus Should be who is novel coronavirus Huh They did not know COVID19 They si,neutral,opinion
2434,XinhuaNewsAgency revealed that the medical materials donated to Italy only used on the Mainland Chinese who are stranded in,neutral,opinion
2435,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2436,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2437,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2438,Foreigners in the West Plz see the WuhanCoronavirus as lethal No joking abt ur life Plz have the following exp shared by,neutral,opinion
2439,Please do not ask me to translate this Trust me you do not need to know what it is about China WuhanCoronavirus Wuhan,neutral,opinion
2440,waisingrin nytimes that is exactly what happened in Europe as led by members of CPofCN s overseas red guards CSSA who inundated post offices with parcels packed full of facemasks to be mailed back to the Motherland Now there is a massive shortage in every country in Europe WuhanCoronavirus,neutral,opinion
2441,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2442,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2443,redfishstream Never trust CCPChina many people died because of CCPChina hiding the truth of WuhanCoronavirus outbreak an,neutral,opinion
2444,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2445,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2446,China style of controlling WuhanCoronaVirus,neutral,opinion
2447,konijournal nikki_miumiu Thx for sharing We r living in one world but many different ppl To hv a better living world we need to speak up for the right things values that we shd uphold stay health and safe until the WuhanCoronavirus is over May glory be with Hongkong soon,neutral,opinion
2448,The Mayor of Bugliano Italy bans Orgies Threesomes and GangBangs because of WuhanCoronavirus,neutral,opinion
2449,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2450,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2451,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2452,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2453,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2454,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2455,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2456,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2457,WuhanCoronavirus is breaking out in Chongqing Emperor Corona is lying again on no new cases,neutral,reporting
2458,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2459,FoxBusiness SUSPENDS TrishRegan For More WuhanVirus Coverage Targeted By Media Matters AFTER This Accurate Takedown,neutral,opinion
2460,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2461,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2462,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2463,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2464,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2465,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2466,it is almost like getting infected by WuhanCoronavirus is a honor in China that being a solid proof of patriot Staying in the temporary hospital is camping alike that one could appreciate the beautiful scene around Good logic China Wonderful propaganda D world sure impressed,neutral,opinion
2467,WBYeats1865 it is almost like getting infected by WuhanCoronavirus is a honor in China that being a solid proof of patriot Staying in the temporary hospital is camping alike that one could appreciate the beautiful scene around Good logic China Wonderful propaganda D world sure impressed,neutral,opinion
2468,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2469,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2470,Foreigners in the West Plz see the WuhanCoronavirus as lethal No joking abt ur life Plz have the following exp shared by a lady married in UK Her hubby amp kid had fever for days amp yet the govt see that as normal WTF Save urself if you dun want to die,neutral,opinion
2471,XinhuaNewsAgency revealed that the medical materials donated to Italy only used on the Mainland Chinese who are stranded in,neutral,opinion
2472,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2473,XinhuaNewsAgency revealed that the medical materials donated to Italy only used on the Mainland Chinese who are stranded in,neutral,opinion
2474,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2475,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2476,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2477,Breaking READ to truly put WuhanCoronavirus especially in youS into context Highly rational Compared to what by Heather Mac Donald The New Criterion tcot,neutral,reporting
2478,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2479,In People s War on coronavirus Chinese propaganda faces pushback The scale and intensity of the pushback against t,neutral,opinion
2480,let us take a look on Hong Kong people s FULL GEARS against WuhanCoronavirus spread one Antivirus hat w full co,neutral,opinion
2481,Please spread out the message to Europe Urgent CoronaOutbreak WuhanCoronavirus,neutral,opinion
2482,OStanley81 realKyleOlbert blizzardcyclone Economic loss due to WuhanCoronavirus,neutral,opinion
2483,three However China only took vigorous action in late January weeks after police silenced a doctor for trying to raise the,neutral,opinion
2484,FoxBusiness SUSPENDS TrishRegan For More WuhanVirus Coverage Targeted By Media Matters AFTER This Accurate Takedown,neutral,opinion
2485,Please spread out the message to Europe Urgent CoronaOutbreak WuhanCoronavirus,neutral,opinion
2486,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2487,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2488,coronavirus patients in Italy who refuse to selfisolate face murder charges amp twenty-one years in jail Those with a cough fe,neutral,opinion
2489,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2490,Hong Kong is not China s Taiwan is not China s Tibet is not China s CoronavirusISCHINA S wuhanCoronavirus,neutral,opinion
2491,Johns Hopkins Infectious Disease Specialist Answers Tough Coronavirus Questions via YouTube Jo,neutral,opinion
2492,redfishstream Never trust CCPChina many people died because of CCPChina hiding the truth of WuhanCoronavirus outbreak an,neutral,opinion
2493,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2494,FoxBusiness SUSPENDS TrishRegan For More WuhanVirus Coverage Targeted By Media Matters AFTER This Accurate Takedown,neutral,opinion
2495,Hong Kong is not China s Taiwan is not China s Tibet is not China s CoronavirusISCHINA S wuhanCoronavirus,neutral,opinion
2496,JenniferHYChan alphacentauriii All dead no more WuhanVirus WuhanCoronavirus By the way CCP will blame US for the exp,neutral,opinion
2497,china fears a global public backlash as the impact of wuhancoronavirus can be felt globally which will totally derail beijing s global ambitions the Chinese allegations are so exceptionally I will informed and founded that it,neutral,opinion
2498,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2499,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2500,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2501,Johns Hopkins Infectious Disease Specialist Answers Tough Coronavirus Questions via YouTube JohnHopkins COVID19 WuhanCoronavirus CCP CHINA News Control Info Coronavirus Health Recovery Cases,neutral,opinion
2502,JenniferHYChan alphacentauriii All dead no more WuhanVirus WuhanCoronavirus By the way CCP will blame US for the exp,neutral,opinion
2503,Yamiche Did you skim over this part Last night after indepth discussions with the President regarding WuhanCoronavirus,anger,opinion
2504,President Trump They know where it came from We all know where it came from ChinaVirus WuhanCoronavirus Source,anger,opinion
2505,Well this is awkwardly suspicious Its like they saw it coming and the media is actively playing their part WuhanCoronavirus,anger,opinion
2506,AleNekPattzStew Too stupid If you are a smart guy you should remember to revenge those who died of the WuhanCoronavirus in your country and make China pay the price What are you doing nowAmazing Italian,neutral,opinion
2507,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2508,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2509,Hong Kong is not China s Taiwan is not China s Tibet is not China s CoronavirusISCHINA S wuhanCoronavirus,neutral,opinion
2510,I went shopping amp found an abundant supply of TP in case you did not finish your panic room CoronaVirusUpdates C,neutral,opinion
2511,Please spread out the message to Europe Urgent CoronaOutbreak WuhanCoronavirus,neutral,opinion
2512,coronavirus patients in Italy who refuse to selfisolate face murder charges amp twenty-one years in jail Those with a cough fe,neutral,opinion
2513,bueti I agree with you sir Taiwan has set up an excellent example in handling the WuhanCoronavirus it is the best timing to involve Taiwan in international affairs as they have been working very hard to connect to the rest of the world despite the fact that China blocked their way,anger,opinion
2514,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2515,RepJimBanks China must be held accountable for originating censoring and blaming other countries for the WuhanCoron,neutral,reporting
2516,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2517,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2518,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2519,COVID19 WuhanCoronavirus CCP CHINA News Control Secretive SmokeAndMirrors Data How The Chinese Government Is Controlling Coronavirus Coverage via YouTube,neutral,reporting
2520,I went shopping amp found an abundant supply of TP in case you did not finish your panic room CoronaVirusUpdates C,neutral,opinion
2521,With such stuff I am confident that Chinese Communist Party will lay claim to Rhineland in Germany Goebbels was from R,neutral,opinion
2522,Without any scientific and professional grounds China spreads fake news amp blames others for spreading WuhanCoronavirus,neutral,reporting
2523,three While HK leader CarrieLam acts against medical experts advice amp asks ppl not to wear masks we simply disregard unsc,neutral,opinion
2524,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2525,Dear friends here is sth you need to know about the WuhanCoronavirus Facing one of the most challenging amp widespread pan,neutral,opinion
2526,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2527,Today at the Corona Virus TaskForce update at the White House Is China trying to give the President of the United States the,neutral,reporting
2528,NPR Taiwan success because they know how dirty are these two guys And never trust what China and WHO said WuhanCorona,neutral,opinion
2529,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praisi,neutral,reporting
2530,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2531,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2532,I went shopping amp found an abundant supply of TP in case you did not finish your panic room CoronaVirusUpdates C,neutral,opinion
2533,FoxBusiness SUSPENDS TrishRegan For More WuhanVirus Coverage Targeted By Media Matters AFTER This Accurate Takedown,neutral,opinion
2534,Let me know I am heading out coronavirus COVID19 WuhanCoronavirus WuhanVirus Wuhan,neutral,opinion
2535,dcexaminer SenTomCotton and the scary thing is so many American ttojan horses support CCP and downplay threat from WuhanCoronavirus,anger,opinion
2536,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStream,neutral,opinion
2537,You mean CCP wants two defend Comrade DirectorGeneral DrTedros of WHO who is responsible four WuhanCoronavirus becoming,neutral,opinion
2538,coronavirus patients in Italy who refuse to selfisolate face murder charges amp twenty-one years in jail Those with a cough fe,neutral,opinion
2539,Which poses the greatest threat to the American people at this very moment WuhanCoronavirus ChineseCoronavirus MainStreamMedia panicshopping Democrats COVID19 Panicdemic,neutral,opinion
2540,three While HK leader CarrieLam acts against medical experts advice amp asks ppl not to wear masks we simply disregard unsc,neutral,opinion
2541,Here s some tips about protecting ourselves when the pandemic of WuhanCoronavirus comes one Wearing masks There are d,neutral,opinion
2542,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2543,Adding subtitles to let more people watch this clip amp you do not need to listen to her voice decoupling with China is i,neutral,opinion
2544,You know the NIACouncil crowd such as AssalRad amp tparsi have no new talking points from JZarif when they are praising China of all countries of supporting Iran amp Iraq in the fight against coronavirus Keep on importing that WuhanCoronavirus,neutral,opinion
2545,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2546,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
2547,three While HK leader CarrieLam acts against medical experts advice amp asks ppl not to wear masks we simply disregard unsc,neutral,opinion
2548,US donated one hundred and seventy-eight tons of medical supplies for WuhanCoronavirus to China in february China now spreads conspiracy theory to,neutral,opinion
2549,WuhanCoronavirus spark has started many prairie fires in China,neutral,opinion
